fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
3,19,euclidean,uniform,0.81374999999999997,0.647887323943662,0.34651600753295669,0.94649545211342967,0.45153374233128835,0.64650572982319321,0.74534102347852105,0.49697659658524296,3538,200,694,368
3,21,euclidean,uniform,0.81395833333333334,0.65062388591800357,0.34369114877589452,0.94756554307116103,0.44978434996919286,0.6456283459235278,0.74896794664457966,0.50134945712081336,3542,196,697,365
3,23,euclidean,uniform,0.81416666666666671,0.65287769784172667,0.34180790960451979,0.94836811128945964,0.44870210135970334,0.64508801044698971,0.74953977020250107,0.50359970185663316,3545,193,699,363
3,25,euclidean,uniform,0.81437499999999996,0.65630712979890315,0.33804143126177022,0.94970572498662387,0.44623990055935364,0.6438735781241971,0.75168536806796182,0.50890346645331741,3550,188,703,359
3,27,euclidean,uniform,0.81374999999999997,0.65671641791044777,0.33145009416195859,0.95077581594435523,0.44055068836045058,0.64111295505315691,0.75256388553855713,0.51036449061968359,3554,184,710,352
3,29,euclidean,uniform,0.81291666666666662,0.64963503649635035,0.3352165725047081,0.9486356340288925,0.44223602484472052,0.64192610326680033,0.75380489380203708,0.51006548563626497,3546,192,706,356
3,31,euclidean,uniform,0.81437499999999996,0.65630712979890315,0.33804143126177022,0.94970572498662387,0.44623990055935364,0.6438735781241971,0.75444447971109552,0.51253838466252954,3550,188,703,359
3,1,euclidean,distance,0.72229166666666667,0.37670609645131936,0.38983050847457629,0.81674692348849653,0.38315594632114763,0.60328871598153644,0.60328871598153633,0.28185152912509059,3053,685,648,414
3,3,euclidean,distance,0.77541666666666664,0.49043062200956938,0.38606403013182672,0.8860353130016051,0.43203371970495258,0.63604967156671588,0.67200515598439781,0.40115425520168441,3312,426,652,410
3,5,euclidean,distance,0.79020833333333329,0.53751705320600274,0.37099811676082861,0.9093097913322632,0.43899721448467965,0.64015395404654596,0.69637189288208134,0.44556971778177956,3399,339,668,394
