stage,outer_fold,inner_fold,configuration_id,row_type,validation_rows,average_precision,roc_auc,oof_average_precision,oof_roc_auc,selected_threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,TP,TN,FP,FN,predicted_positive_rate,k,selected
1,4,0,k13__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.49835410700136462,0.73572885417679024,0.49740345785594342,0.73570655599931656,0.29827125150983408,0.76343749999999977,0.4697311717627744,0.53896868377678364,0.82719186785260457,0.50197368421052635,0.68308027581469422,2289,12369,2584,1958,0.25380208333333332,13,False
1,4,0,k19__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50820830714419185,0.7429349201744474,0.50691196675977701,0.74282929775205997,0.31308718752054032,0.78531249999999975,0.51510026576467727,0.50200141276194965,0.86577944225239056,0.50846649177200076,0.68389042750717022,2132,12946,2007,2115,0.2155729166666665,19,False
1,4,0,k25__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51406650305535206,0.74777276358750455,0.51278355489534333,0.7477181819099421,0.29340013641533291,0.78557291666666662,0.51529411764705857,0.51565811160819375,0.86223500300942935,0.51547605037071886,0.68894655730881182,2190,12893,2060,2057,0.2213541666666666,25,False
1,4,0,k31__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.5171934756676988,0.74855157163712072,0.51607653592003921,0.7484489860081327,0.28717364518576621,0.78614583333333332,0.51641443538998832,0.52225100070638075,0.8610981074031967,0.51931631936314682,0.69167455405478884,2218,12876,2077,2029,0.22369791666666661,31,False
1,4,0,k35__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51807665393469615,0.7491807457334323,0.51688504610453656,0.74906061912129607,0.27455404945214767,0.78421874999999985,0.51179138321995465,0.53143395337885546,0.85601551528121445,0.52142774633244771,0.69372473433003501,2257,12800,2153,1990,0.22968749999999991,35,False
1,4,0,k51__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51995428235020313,0.75038722385757894,0.51875086295256845,0.75024584133337591,0.25702085914378192,0.78270833333333334,0.50838738537239991,0.53520131857781961,0.8530060857353039,0.52144987382427155,0.6941037021565617,2273,12755,2198,1974,0.23286458333333321,51,True
1,4,0,k75__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.5189567801119136,0.7543156245037187,0.5176966273295811,0.75422619632402543,0.25092425517101702,0.78812499999999985,0.52070321535970365,0.5300211914292442,0.86143248846385345,0.52532088681446887,0.69572683994654883,2251,12881,2072,1996,0.22515625,75,False
1,4,0,k101__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51793371171696745,0.75566871857192652,0.51670968359038105,0.75559497775551054,0.24329915064200741,0.79026041666666647,0.52578527894983595,0.52813750882976196,0.86470942285828933,0.52695876894161875,0.69642346584402581,2243,12930,2023,2004,0.22218750000000001,101,False
1,5,1,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.47708122463716413,0.7270385997905161,,,,,,,,,,,,,,,,
1,5,1,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.48944282558699781,0.73232862107897811,,,,,,,,,,,,,,,,
1,5,1,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50319766433989221,0.73839230452702875,,,,,,,,,,,,,,,,
1,5,1,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50314084581811014,0.73912104893852415,,,,,,,,,,,,,,,,
1,5,1,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50370695328589754,0.73897906917956657,,,,,,,,,,,,,,,,
1,5,1,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51070447743917025,0.74354105453836461,,,,,,,,,,,,,,,,
1,5,1,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51385428760354335,0.7466775744529387,,,,,,,,,,,,,,,,
